run_id,model,regime,seed,accuracy,precision,recall,f1,roc_auc,notes,balanced_accuracy,macro_f1,n_test,positive_rate
phase4-baselines,decision_tree,in_distribution,42,0.898363,0.888392,0.932564,0.909942,0.964843,"tuned on UNSW val fold 2026-08-01; params: max_depth=None, min_samples_leaf=20",0.894512,0.896654,82332,0.5506
phase4-baselines,dummy,in_distribution,42,0.5506,0.5506,1.0,0.710177,0.5,"tuned on UNSW val fold 2026-08-01; majority-class floor, no tuning surface",0.5,0.355088,82332,0.5506
phase4-baselines,random_forest,in_distribution,42,0.902383,0.882929,0.948469,0.914526,0.978753,"tuned on UNSW val fold 2026-08-01; params: max_depth=20, n_estimators=100",0.897194,0.900372,82332,0.5506
phase4-baselines,svm,in_distribution,42,0.75051,0.739726,0.843753,0.788322,0.884575,tuned on UNSW val fold 2026-08-01; params: C=0.1,0.740012,0.742287,82332,0.5506
phase6-crossera,decision_tree,cross_era,42,0.381415,0.643762,0.423974,0.511247,0.353385,"full shared feature set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=22",0.334157,0.334452,211043,0.763081
phase6-crossera,dummy,cross_era,42,0.763081,0.763081,1.0,0.865622,0.5,"full shared feature set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=22",0.5,0.432811,211043,0.763081
phase6-crossera,random_forest,cross_era,42,0.221083,0.477865,0.224002,0.305023,0.210576,"full shared feature set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=22",0.217841,0.209552,211043,0.763081
phase6-crossera,scratch_logreg,cross_era,42,0.269457,0.557017,0.208286,0.303197,0.24892,"full shared feature set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=22",0.337383,0.26774,211043,0.763081
phase6-crossera,scratch_logreg,in_distribution,42,0.748858,0.746407,0.823745,0.783171,0.881067,"full shared feature set; fit on UNSW train fold, scored on UNSW-test; d=22",0.740426,0.742407,82332,0.5506
phase6-crossera,scratch_mlp,cross_era,42,0.228669,0.486753,0.198612,0.282112,0.184632,"full shared feature set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=22",0.262046,0.224371,211043,0.763081
phase6-crossera,scratch_mlp,in_distribution,42,0.88397,0.889758,0.900887,0.895288,0.96213,"full shared feature set; fit on UNSW train fold, scored on UNSW-test; d=22",0.882065,0.882598,82332,0.5506
phase6-crossera,svm,cross_era,42,0.224907,0.47516,0.150556,0.22866,0.211356,"full shared feature set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=22",0.307468,0.224888,211043,0.763081
phase6-crossera-no_proto,decision_tree,cross_era,42,0.398876,0.656913,0.444273,0.530062,0.318805,"proto ablation: protocol one-hots dropped, retrained on train fold; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=18",0.348466,0.348072,211043,0.763081
phase6-crossera-no_proto,decision_tree,in_distribution,42,0.895144,0.883039,0.93316,0.907408,0.963701,"proto ablation: protocol one-hots dropped, retrained on train fold; fit on UNSW train fold, scored on UNSW-test; d=18",0.890864,0.893272,82332,0.5506
phase6-crossera-no_proto,dummy,cross_era,42,0.763081,0.763081,1.0,0.865622,0.5,"proto ablation: protocol one-hots dropped, retrained on train fold; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=18",0.5,0.432811,211043,0.763081
phase6-crossera-no_proto,dummy,in_distribution,42,0.5506,0.5506,1.0,0.710177,0.5,"proto ablation: protocol one-hots dropped, retrained on train fold; fit on UNSW train fold, scored on UNSW-test; d=18",0.5,0.355088,82332,0.5506
phase6-crossera-no_proto,random_forest,cross_era,42,0.258857,0.533179,0.231007,0.322351,0.269462,"proto ablation: protocol one-hots dropped, retrained on train fold; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=18",0.289783,0.252293,211043,0.763081
phase6-crossera-no_proto,random_forest,in_distribution,42,0.900185,0.880547,0.947212,0.912664,0.976329,"proto ablation: protocol one-hots dropped, retrained on train fold; fit on UNSW train fold, scored on UNSW-test; d=18",0.89489,0.898104,82332,0.5506
phase6-crossera-no_proto,scratch_logreg,cross_era,42,0.23127,0.493068,0.263246,0.343239,0.131084,"proto ablation: protocol one-hots dropped, retrained on train fold; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=18",0.195763,0.208258,211043,0.763081
phase6-crossera-no_proto,scratch_logreg,in_distribution,42,0.731186,0.728635,0.815495,0.769622,0.849966,"proto ablation: protocol one-hots dropped, retrained on train fold; fit on UNSW train fold, scored on UNSW-test; d=18",0.721693,0.723489,82332,0.5506
phase6-crossera-no_proto,scratch_mlp,cross_era,42,0.271679,0.543845,0.282515,0.371858,0.20265,"proto ablation: protocol one-hots dropped, retrained on train fold; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=18",0.259647,0.252671,211043,0.763081
phase6-crossera-no_proto,scratch_mlp,in_distribution,42,0.880909,0.899063,0.88282,0.890868,0.958795,"proto ablation: protocol one-hots dropped, retrained on train fold; fit on UNSW train fold, scored on UNSW-test; d=18",0.880694,0.879909,82332,0.5506
phase6-crossera-no_proto,svm,cross_era,42,0.226262,0.484122,0.2129,0.295742,0.151166,"proto ablation: protocol one-hots dropped, retrained on train fold; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); d=18",0.2411,0.218657,211043,0.763081
phase6-crossera-no_proto,svm,in_distribution,42,0.728781,0.719142,0.832569,0.77171,0.847009,"proto ablation: protocol one-hots dropped, retrained on train fold; fit on UNSW train fold, scored on UNSW-test; d=18",0.717095,0.718839,82332,0.5506
phase7-recovery-ceiling,decision_tree,target_frozen_test,42,0.992731,0.997517,0.992946,0.995226,0.998387,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.992493,0.989999,105521,0.76308
phase7-recovery-ceiling,dummy,target_frozen_test,42,0.76308,0.76308,1.0,0.865622,0.5,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.5,0.432811,105521,0.76308
phase7-recovery-ceiling,random_forest,target_frozen_test,42,0.99656,0.997567,0.997926,0.997746,0.999759,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.995043,0.995241,105521,0.76308
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,42,0.946172,0.9922,0.936824,0.963717,0.988412,"fit on UNSW train fold, warm-started gradient descent from the UNSW-fitted weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.956552,0.929743,105521,0.76308
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,42,0.94911,0.977107,0.955701,0.966285,0.980805,"fit on UNSW train fold, head-only refit, both hidden layers frozen at their UNSW weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.94179,0.931273,105521,0.76308
phase7-recovery-ceiling,svm,target_frozen_test,42,0.944656,0.992703,0.93434,0.962638,0.988148,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.95611,0.92797,105521,0.76308
phase7-recovery-ceiling-no_freeze,scratch_mlp,target_frozen_test,42,0.978971,0.997509,0.974876,0.986063,0.997969,"fit on UNSW train fold, control: every layer re-initialized and retrained on the target pool (no freeze); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 100.00% of the pool, n_ft=105522; d=22",0.983518,0.971624,105521,0.76308
phase7-recovery-f0.00,decision_tree,target_frozen_test,42,0.380228,0.642833,0.42261,0.509962,0.351934,"fit on UNSW train fold, none (zero-shot: the UNSW-train fit, unadapted); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 0.00% of the pool, n_ft=0; d=22",0.333165,0.333514,105521,0.76308
phase7-recovery-f0.00,dummy,target_frozen_test,42,0.76308,0.76308,1.0,0.865622,0.5,"fit on UNSW train fold, none (zero-shot: the UNSW-train fit, unadapted); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 0.00% of the pool, n_ft=0; d=22",0.5,0.432811,105521,0.76308
phase7-recovery-f0.00,random_forest,target_frozen_test,42,0.221918,0.479059,0.224873,0.306073,0.212086,"fit on UNSW train fold, none (zero-shot: the UNSW-train fit, unadapted); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 0.00% of the pool, n_ft=0; d=22",0.218637,0.210303,105521,0.76308
phase7-recovery-f0.00,scratch_logreg,target_frozen_test,42,0.269956,0.557945,0.20843,0.303487,0.248977,"fit on UNSW train fold, none (zero-shot: the UNSW-train fit, unadapted); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 0.00% of the pool, n_ft=0; d=22",0.338275,0.26826,105521,0.76308
phase7-recovery-f0.00,scratch_mlp,target_frozen_test,42,0.228523,0.48655,0.199016,0.282486,0.184658,"fit on UNSW train fold, none (zero-shot: the UNSW-train fit, unadapted); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 0.00% of the pool, n_ft=0; d=22",0.261288,0.224135,105521,0.76308
phase7-recovery-f0.00,svm,target_frozen_test,42,0.225614,0.476594,0.150843,0.229157,0.211083,"fit on UNSW train fold, none (zero-shot: the UNSW-train fit, unadapted); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 0.00% of the pool, n_ft=0; d=22",0.308641,0.225597,105521,0.76308
phase7-recovery-f0.01,decision_tree,target_frozen_test,42,0.981966,0.988517,0.987842,0.988179,0.986216,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.975441,0.97508,105521,0.76308
phase7-recovery-f0.01,dummy,target_frozen_test,42,0.76308,0.76308,1.0,0.865622,0.5,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.5,0.432811,105521,0.76308
phase7-recovery-f0.01,random_forest,target_frozen_test,42,0.988126,0.987827,0.996721,0.992254,0.997939,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.978581,0.983413,105521,0.76308
phase7-recovery-f0.01,scratch_logreg,target_frozen_test,42,0.930526,0.991406,0.916904,0.9527,0.985925,"fit on UNSW train fold, warm-started gradient descent from the UNSW-fitted weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.945652,0.910954,105521,0.76308
phase7-recovery-f0.01,scratch_mlp,target_frozen_test,42,0.699084,0.92348,0.660374,0.770074,0.884531,"fit on UNSW train fold, head-only refit, both hidden layers frozen at their UNSW weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.742067,0.667375,105521,0.76308
