run_id,model,regime,family_set,family,seed,n_family,n_normal,n_test,positive_rate,precision,recall,f1,roc_auc,accuracy,balanced_accuracy,macro_f1,notes
phase6-crossera,decision_tree,cross_era,shared,backdoor,42,20000,50000,70000,0.285714,0.333245,0.9442,0.492624,0.671663,0.4443,0.59427,0.439213,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,decision_tree,cross_era,shared,dos,42,20000,50000,70000,0.285714,0.283544,0.74765,0.411158,0.499865,0.388143,0.495995,0.387207,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,decision_tree,cross_era,shared,scanning,42,20000,50000,70000,0.285714,0.064152,0.1295,0.0858,0.192349,0.211529,0.18692,0.196328,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,decision_tree,in_distribution,shared,backdoor,42,583,37000,37583,0.015512,0.097383,0.982847,0.177207,0.968313,0.85842,0.919653,0.549877,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,decision_tree,in_distribution,shared,dos,42,4089,37000,41089,0.099516,0.426272,0.965028,0.591338,0.973657,0.867264,0.910744,0.756051,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,decision_tree,in_distribution,shared,scanning,42,3496,37000,40496,0.08633,0.392751,0.982551,0.561183,0.974928,0.867345,0.919505,0.741522,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,dummy,cross_era,shared,backdoor,42,20000,50000,70000,0.285714,0.285714,1.0,0.444444,0.5,0.285714,0.5,0.222222,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,dummy,cross_era,shared,dos,42,20000,50000,70000,0.285714,0.285714,1.0,0.444444,0.5,0.285714,0.5,0.222222,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,dummy,cross_era,shared,scanning,42,20000,50000,70000,0.285714,0.285714,1.0,0.444444,0.5,0.285714,0.5,0.222222,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,dummy,in_distribution,shared,backdoor,42,583,37000,37583,0.015512,0.015512,1.0,0.030551,0.5,0.015512,0.5,0.015275,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,dummy,in_distribution,shared,dos,42,4089,37000,41089,0.099516,0.099516,1.0,0.181017,0.5,0.099516,0.5,0.090509,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,dummy,in_distribution,shared,scanning,42,3496,37000,40496,0.08633,0.08633,1.0,0.158938,0.5,0.08633,0.5,0.079469,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
